Phase difference (pi),Frequency (kHz),Amplitude at node 0 (mVpp),Amplitude at node 0 (mVpp)
1,5.93,1810,184
2,11.52,1800,188
3,17.31,1750,173
4,23.05,1720,158
5,28.72,1630,159
6,34.4,1620,156
7,39.9,1600,141
8,45.64,1470,159
9,50.88,1470,145
10,56.35,1450,144
11,61.71,1450,130
12,67.08,1450,124
13,71.98,1280,134
14,77.21,1390,108
15,81.95,1160,127
16,86.37,1250,120
17,91.54,1490,75
18,96.15,1250,103
19,100.2,1170,103
20,104.6,1370,64
21,108.7,1190,88
22,112.4,1350,76
23,116.5,1430,44
24,120.1,970,79
25,123.2,1270,67
26,126.3,1270,60
27,129.4,1400,44
28,132,1300,45
29,134.8,1310,25
30,137.1,1090,27